time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.77077142306e-08,-6.71175270055e-08,10.0042727795,6.28286965571,7.46194131791e-05,0.0,-6.41566718646e-06,-1.61744622854e-05,0.142418109667,-0.0186958217575,0.00362185419642,0.0,450.11653770604033,450.40946990084706,450.8078986778956,449.2950307385494
0.12000000000000001,-3.23703500601e-06,-1.42613933883e-05,10.0202143095,6.28153227628,0.000157045474284,0.0,-0.000118294011653,-0.000607570139746,0.388914299407,-0.0306716686424,-0.00355163270722,0.0,481.38019149793854,480.8371270511827,481.71404368169704,480.80774448593803
0.18,-1.28910509111e-05,-9.57717931943e-05,10.0484844377,6.27967938751,6.28291551517,0.0,-0.000169114447744,-0.00231529908762,0.553357068382,-0.0313043603174,-0.0154108307882,0.0,458.53064224859946,457.58780461886784,456.1122708114341,456.06144924649146
0.23999999999999996,-1.25809556842e-05,-0.000325309869616,10.0876561085,6.27814429362,6.2819444442,0.0,0.000289915643239,-0.00553237788049,0.752254360849,-0.0160791124469,-0.0177785269561,0.0,468.3701442567866,468.1860964158389,466.27765859778566,467.4652790336152
0.3,3.95976560183e-05,-0.000785842327475,10.13976719,6.27680221282,6.28133313801,0.0,0.00154727212634,-0.00995248805489,0.984609679637,-0.0395248713684,0.00179802557527,0.0,476.49559967601897,477.9897293399653,478.96585310772974,477.17958288929657
0.36000000000000004,0.000176793514646,-0.00154549311414,10.205338576,6.27565161714,6.28120255741,0.0,0.00302511110503,-0.0155580979151,1.20089983324,0.00499756560369,-0.0116278146891,0.0,474.2171238346554,473.18487115016666,471.28188313640527,474.7100590395826
0.4200000000000001,0.000405054575735,-0.00264394733657,10.281826271,6.27617678163,6.28027710141,0.0,0.0046702691512,-0.0210098849879,1.34852745667,0.015367151241,-0.0243697346104,0.0,453.33464923166116,452.3098370137139,453.166138313572,453.9987079287308
0.48000000000000015,0.000759590730106,-0.00406437078411,10.368437734,6.27687596924,6.27872054569,0.0,0.00732061772133,-0.0262410413023,1.53828544783,0.00293768394512,-0.0292895773547,0.0,466.49096034504737,466.106564650451,466.7688292454816,465.7977985086803
0.5400000000000001,0.00131220909309,-0.00578705008706,10.4667757397,6.27746389904,6.27709533426,0.0,0.0112960480166,-0.0311320468068,1.73936343655,0.0208481248422,-0.0230105773294,0.0,469.98167272431,470.4679091542899,469.39339525710466,470.78104020593696
0.6000000000000002,0.00211093771014,-0.00775957175371,10.5725496799,6.27884884022,6.27577771616,0.0,0.0154547299218,-0.0344939233421,1.78636196159,0.0272127478381,-0.0199386100504,0.0,424.0828141650623,424.3465400265692,421.06118436474526,421.61148005362185
0.6600000000000003,0.00320584040784,-0.00991741758563,10.6840397966,6.28084865495,6.27422516062,0.0,0.0211849809479,-0.0372341471763,1.9297439049,0.0433839017508,-0.0416917136944,0.0,453.8233362080718,452.0738456398304,453.4784331600653,454.7758733293867
0.7200000000000003,0.00470725030366,-0.0121957093171,10.8066708129,0.00103395548385,6.27215372525,0.0,0.0291311682857,-0.0383377948734,2.15755330457,0.0739626643752,-0.0230782341529,0.0,478.3771393205485,479.79182805896596,478.1854969025699,480.51082979922495
0.7800000000000004,0.00665967294883,-0.014462234024,10.9366034774,0.00499632477704,6.27098586498,0.0,0.0360627917237,-0.0368291274682,2.17350320808,0.0413286060797,-0.0130715751814,0.0,413.4600466454478,414.3406806299951,415.6543221967167,412.78787125594573
0.8400000000000004,0.00908916397981,-0.0165547571055,11.0708785623,0.0072754270822,6.26983344773,0.0,0.0450154180703,-0.0326692512379,2.3020802828,0.0302829690684,-0.0357697286627,0.0,451.4856124207051,449.6506129603674,450.7043965078757,449.81148553016214
0.9000000000000005,0.0120697354262,-0.0183600626691,11.2116957363,0.0091462549297,6.26786579423,0.0,0.0545404469987,-0.0273237564534,2.39163786662,0.0329172966714,-0.0274246747828,0.0,439.2515398207044,439.94258060362955,437.7653537793088,437.98484849628784
0.9600000000000005,0.0156521908675,-0.0198104368042,11.3573718877,0.0115388797178,6.26597543136,0.0,0.0650438323365,-0.0208070373218,2.46407529716,0.0510527550577,-0.0412627764192,0.0,434.96329645330314,433.8024635887432,432.20950449618294,433.73605890396846
1.0200000000000005,0.0200000729506,-0.0207537568644,11.512778284,0.0144051469682,6.26298595185,0.0,0.0802011061216,-0.0102739078516,2.7155648419,0.0402349859598,-0.0784844606384,0.0,489.37638085955564,486.59626525322875,488.70213812812426,487.8963149571673
1.0800000000000005,0.0253212536309,-0.0210115237556,11.6822131263,0.0167393368679,6.25830718013,0.0,0.0977197282511,0.00195670621785,2.93171735368,0.0360975557608,-0.0769889003254,0.0,479.0714114051763,479.18075213310425,479.2737428300686,478.9598120371098
1.1400000000000006,0.0318117146877,-0.0204746316161,11.8648779051,0.0195417305997,6.25447845597,0.0,0.119112536326,0.0162352618308,3.1564959675,0.0622289250713,-0.0456520534652,0.0,482.8662696382495,485.2215370455469,480.4130616836659,482.39139542921765
1.2000000000000006,0.0394298732763,-0.0191740520466,12.0527377939,0.0234979233456,6.25166288214,0.0,0.135051267455,0.0274271275818,3.10562540921,0.0724737419542,-0.0496038467476,0.0,396.16914195519547,395.8039841178127,396.6373102517258,397.58086691943794
1.2600000000000007,0.0481663605595,-0.0170482401458,12.2411723993,0.0279324969168,6.24915680186,0.0,0.156422641471,0.0438566500093,3.17531523565,0.0766353007619,-0.029476228987,0.0,435.77999604012257,437.45817863486707,436.5488177862009,436.90029654241386
